ID_global	ID_construction	source	via	construction	contruction_type	surface_change	mode	occurring_sentence	hypoth_counterpart	counterpart_less_natural
0	11000	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So what they want these schools to do is to accurately report the numbers	So what they want these schools to do is accurately report the numbers	0
1	11001	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And what he really did was almost to conspire to bring himself down	And what he really did was almost conspire to bring himself down	0
2	11002	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The easiest thing that you can do is to always put them in the same place	The easiest thing that you can do is always put them in the same place	0
3	11003	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The worst thing we can do is to constantly say what we won't do	The worst thing we can do is constantly say what we won't do	0
4	11004	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What we're trying to do is to cooperatively push the administration forward and to let them know that if they are at	What we're trying to do is cooperatively push the administration forward and let them know that if they are at	0
5	11005	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What it is not free to do is to covertly manipulate messages that are purportedly being created by the independent creative communities	What it is not free to do is covertly manipulate messages that are purportedly being created by the independent creative communities	0
6	11006	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	One thing the Bush Administration has decided to do is to finally meet with representatives of the Kurdish resistance	One thing the Bush Administration has decided to do is finally meet with representatives of the Kurdish resistance	0
7	11007	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	but what I would really rather do is to just cut my head off, put it on the dresser until the cold is	but what I would really rather do is just cut my head off, put it on the dresser until the cold is	0
8	11008	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	For a start, the first thing I did was just to determine to really make my marriage work	For a start, the first thing I did was just to determine really make my marriage work	1
9	11009	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	All you have to do is just to do a basic stretch	All you have to do is just do a basic stretch	0
10	11010	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	You know, the best thing for you to do is just to get on the stage and start doing it	You know, the best thing for you to do is just get on the stage and start doing it	0
11	11011	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The first thing I have to do is just to get out of this place and find a new place to live	The first thing I have to do is just get out of this place and find a new place to live	0
12	11012	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	we are in a state of grief and the most appropriate thing to do is to just grieve for what is being lost	we are in a state of grief and the most appropriate thing to do is just grieve for what is being lost	0
13	11013	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	these historic legacies if they exist and maybe the best thing to do is just to leave that in place and let it be capped	these historic legacies if they exist and maybe the best thing to do is just leave that in place and let it be capped	0
14	11014	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So we decided the final thing to do was just to legalize it	So we decided the final thing to do was just legalize it	0
15	11015	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	But won't he -- wouldn't the smarter thing to do be just to let it die quietly, as quietly as possible?	But won't he -- wouldn't the smarter thing to do be just let it die quietly, as quietly as possible?	0
16	11016	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	But what he can really do is just to limit the damage	But what he can really do is just limit the damage	0
