ID_global	ID_construction	source	via	construction	contruction_type	surface_change	mode	occurring_sentence	hypoth_counterpart	occ_gpt3_no_tokens	occ_gpt3_avg_delta-uid	occ_gpt3_avg_mu-uid	occ_gpt3_avg_rtm	occ_gpt3_avg_diff_for_low-ic	hyp_gpt3_no_tokens	hyp_gpt3_avg_delta-uid	hyp_gpt3_avg_mu-uid	hyp_gpt3_avg_rtm	hyp_gpt3_avg_diff_for_low-ic	gpt3_delta-uid_correct	gpt3_mu-uid_correct	gpt3_rtm_correct	gpt3_low-ic_correct	occ_gpt2_no_tokens	occ_gpt2_avg_delta-uid	occ_gpt2_avg_mu-uid	occ_gpt2_avg_rtm	occ_gpt2_avg_diff_for_low-ic	hyp_gpt2_no_tokens	hyp_gpt2_avg_delta-uid	hyp_gpt2_avg_mu-uid	hyp_gpt2_avg_rtm	hyp_gpt2_avg_diff_for_low-ic	gpt2_delta-uid_correct	gpt2_mu-uid_correct	gpt2_rtm_correct	gpt2_low-ic_correct
0	11000	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So what they want these schools to do is to accurately report the numbers	So what they want these schools to do is accurately report the numbers	13	3,5143	2,8697	3,2374	-1,052	12	4,101	3,0854	3,3246	-0,7177	1	1	1	1	13	3,1615	2,5352	2,6837	-0,6432	12	3,487	2,6366	2,7161	-0,4765	1	1	1	1
1	11001	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And what he really did was almost to conspire to bring himself down	And what he really did was almost conspire to bring himself down	13	3,2018	2,088	2,0948	-0,3557	12	3,4423	2,3941	2,4312	-0,3074	1	1	1	1	13	3,3647	2,0955	2,1989	-0,4478	12	3,0738	2,3361	2,4069	-0,4248	0	1	1	1
2	11002	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The easiest thing that you can do is to always put them in the same place	The easiest thing that you can do is always put them in the same place	15	1,9688	2,6717	3,1855	-1,9551	14	2,2171	2,7983	3,1574	-1,5849	1	1	0	1	15	1,7921	1,8839	2,7142	-1,8247	14	2,0317	1,9666	2,7099	-1,6498	1	1	0	1
3	11003	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The worst thing we can do is to constantly say what we won't do	The worst thing we can do is constantly say what we won't do	14	2,7325	2,3839	2,9198	-1,8395	13	3,029	2,5368	2,9376	-1,7365	1	1	1	1	14	2,9989	2,3845	2,945	-1,6488	13	3,4433	2,6422	3,065	-1,4819	1	1	1	1
4	11004	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What we're trying to do is to cooperatively push the administration forward and to let them know that if they are at	What we're trying to do is cooperatively push the administration forward and let them know that if they are at	23	3,7253	2,6669	3,1829	-1,5053	21	4,0547	2,8359	3,2277	-1,3048	1	1	1	1	23	3,1546	2,174	2,8615	-1,6662	21	3,2938	2,2489	2,8166	-1,622	1	1	0	1
5	11005	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What it is not free to do is to covertly manipulate messages that are purportedly being created by the independent creative communities	What it is not free to do is covertly manipulate messages that are purportedly being created by the independent creative communities	22	5,4301	3,2712	3,2711	0,6833	21	5,2677	3,1052	3,1055	0,8119	0	0	0	1	22	3,8752	2,5787	2,6139	-0,314	21	4,0765	2,609	2,6158	-0,1361	1	1	1	1
6	11006	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	One thing the Bush Administration has decided to do is to finally meet with representatives of the Kurdish resistance	One thing the Bush Administration has decided to do is finally meet with representatives of the Kurdish resistance	18	3,6589	3,317	3,505	-0,8456	17	4,0418	3,438	3,5716	-0,5798	1	1	1	1	18	3,1805	2,6745	2,761	-0,8031	17	3,3803	2,7094	2,7508	-0,7033	1	1	0	1
7	11007	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	but what I would really rather do is to just cut my head off, put it on the dresser until the cold is	but what I would really rather do is just cut my head off, put it on the dresser until the cold is	24	3,1366	1,8652	2,0595	-1,1215	23	3,355	1,9343	2,126	-1,0982	1	1	1	1	24	2,7433	1,7645	2,2171	-1,3423	23	2,8183	1,7801	2,2286	-1,3317	1	1	1	1
8	11008	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	For a start, the first thing I did was just to determine to really make my marriage work	For a start, the first thing I did was just to determine really make my marriage work	18	3,6744	2,3675	2,5365	-0,7349	17	4,567	3,2203	3,2181	0,0123	1	1	1	1	18	2,6893	2,0416	2,2616	-0,9415	17	3,0568	2,5775	2,6892	-0,5691	1	1	1	1
9	11009	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	All you have to do is just to do a basic stretch	All you have to do is just do a basic stretch	11	2,3748	2,3874	2,6378	-1,3604	10	2,573	2,6522	2,82	-1,2799	1	1	1	1	11	1,8997	2,1566	2,1832	-1,1959	10	2,1333	2,2147	2,4716	-1,3535	1	1	1	0
